Sample.Name,Alpha (ug/g),Beta (ug/g),Lut (ug/g),Lycopene (ug/g),Phyto (ug/g),Zeta (ug/g)
80345,649.6251739,1104.158307,NA,NA,NA,60.96466396
80347,136.7741925,310.6950622,86.06903894,11.69931781,0,0
80348,205.4018739,313.4113714,51.71379525,NA,8.52820522,0
80350,10.1830165,18.10895512,6.901724121,NA,0,0
80351,225.8231347,385.5757286,57.26460627,14.57346112,NA,NA
80352,205.4407301,566.0330176,76.79710508,NA,0,32.81939259
80354,0,0,27.26666137,NA,0,0
80355,NA,NA,9.951583798,NA,0,0
80356,85.53351534,243.7331017,170.8768039,NA,0,0
80357,33.38260612,90.67772837,16.85023853,NA,0,0
80358,30.14985404,53.37752103,11.44077883,NA,0,0
80359,62.14223127,137.6472284,33.04902672,NA,0,0
80360,129.2312782,126.6691499,25.32774069,NA,6.085633955,0
80361,129.9562416,223.4953281,73.42904312,NA,0,0
80363,296.4006999,420.0328911,63.37641069,18.42628802,13.92502165,25.9396673
80365,26.23796178,46.1399402,9.857346586,NA,0,0
80366,140.7138639,352.8715775,80.58234144,13.01572295,0,NA
80367,424.0172241,699.3706954,105.6856129,18.84590107,16.20370406,0
80369,66.72503876,130.6906139,35.90856889,NA,0,0
80370,153.817901,379.0210861,68.20082061,NA,18.27857787,29.28943159
80371,224.9136963,436.1952122,143.1243781,NA,7.638482817,39.16313509
80372,189.3590547,306.3330361,119.7335346,12.20553423,27.61410921,32.82753684
80373,48.67779997,62.56060583,63.36091441,NA,0,0
80376,461.5081549,817.6103189,125.6643012,NA,110.2278497,98.23956483
80378,207.8431038,494.9021057,96.32310232,12.00518761,0,17.12089073
80382,0,0,28.04174263,NA,0,0
80383,192.3716884,229.2122531,82.14069138,9.170637019,7.224097721,0
80384,78.88479164,164.4810647,57.29693195,NA,18.02152997,17.31431891
80386,0,11.37384541,64.74908008,NA,0,0
80387,0,0,20.83593642,NA,0,0
80388,53.09001184,128.1107882,79.69703095,NA,0,0
80389,0,0,52.23724272,NA,0,0
80390,0,0,33.91730136,NA,0,0
80391,0,0,42.90491888,NA,0,0
80394,116.4374303,215.83411,72.19803805,NA,0,0
80395,0,10.50518662,36.37871001,NA,0,0
80397,25.58360209,45.71122891,14.02851202,NA,0,0
80398,69.27128582,157.9617229,37.780179,NA,0,0
80399,478.7844339,820.2766815,176.7103539,49.20509568,26.08255026,38.53928662
80401,36.29808476,72.0016091,25.61315282,NA,0,0
80402,0,0,3.689448008,NA,0,0
80403,74.32692266,179.4066336,27.74038095,NA,0,0
80404,78.60120192,220.9919364,66.47342721,NA,13.11560037,0
80407,0,0,5.933068788,NA,0,0
80408,0,0,3.733779441,NA,0,0
80410,8.351718591,21.08713614,55.15245258,NA,0,0
80411,0,0,3.664235987,0,0,0
80413,525.7869407,756.8719461,74.24214231,23.94278432,10.81190206,0
80414,11.26982944,16.77008897,11.94678445,NA,0,0
80415,0,0,2.82178225,NA,0,0
80419,144.0802895,239.3247168,26.34945903,NA,13.70647919,0
80421,0,0,15.33572945,NA,0,0
80424,182.648958,385.7939058,118.7960529,126.7594811,26.5791789,NA
80426,1171.662642,808.5010086,35.85540559,17.68951172,17.0095381,0
80427,554.4922584,822.288885,108.9072883,NA,77.98194195,54.53705644
80428,0,0,20.27745135,NA,0,0
80431,0,0,86.94437187,0,0,0
80433,0,0,9.9248048,0,0,0
