"","Sample Name","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)","Total (ug/g)","AB.Ratio"
"268",80410,8.351718591,21.08713614,55.15245258,NA,0,0,29.438854731,0.533772359230955
"269",80411,0,0,3.664235987,0,0,0,0,0
"270",80413,525.7869407,756.8719461,74.24214231,23.94278432,10.81190206,0,1293.47078886,17.2766955113475
"271",80414,11.26982944,16.77008897,11.94678445,NA,0,0,28.03991841,2.34706824479452
"272",80415,0,0,2.82178225,NA,0,0,0,0
"273",80419,144.0802895,239.3247168,26.34945903,NA,13.70647919,0,397.11148549,14.5507733522528
"274",80421,0,0,15.33572945,NA,0,0,0,0
"275",80424,182.648958,385.7939058,118.7960529,126.7594811,26.5791789,NA,NA,4.78503157237474
"276",80426,1171.662642,808.5010086,35.85540559,17.68951172,17.0095381,0,1997.1731887,55.2263631666257
"277",80427,554.4922584,822.288885,108.9072883,NA,77.98194195,54.53705644,1509.30014179,12.6417723266368
"278",80428,0,0,20.27745135,NA,0,0,0,0
"279",80431,0,0,86.94437187,0,0,0,0,0
"280",80433,0,0,9.9248048,0,0,0,0,0
"281",80434,0,0,95.16196508,NA,0,0,0,0
"282",80435,0,0,103.9985915,NA,0,0,0,0
"283",80436,180.562861,447.0082164,177.7060446,NA,33.84496107,84.3014239,745.71746237,3.53151227248687
"284",80441,0,0,13.38145166,NA,0,0,0,0
"285",80442,0,0,2.754568148,NA,0,0,0,0
"286",80445,0,0,2.734084712,NA,0,0,0,0
"287",80446,54.47707686,141.3000319,85.70769291,64.68775115,26.21284683,0,221.98995559,2.28424196373576
"288",80447,18.51939219,22.60111655,13.10105473,NA,0,0,41.12050874,3.13871742294447
"289",80448,339.7264097,616.3661353,66.46533646,29.3658989,53.31704247,13.66946328,1023.07905075,14.3848296860032
"290",80451,1493.205238,1472.302775,98.22407456,NA,73.7534794,42.549464,3081.8109564,30.1912542956923
"291",80452,0,0,3.006362849,NA,0,0,0,0
"292",80453,0,0,116.3554777,NA,0,0,0,0
"293",80454,0,13.78869405,65.72805444,NA,0,0,13.78869405,0.209783998134115
"294",80455,0,0,3.099442205,NA,0,0,0,0
"295",80456,0,0,2.6181603,NA,0,0,0,0
"296",80457,0,0,28.99071484,NA,0,0,0,0
"297",80458,0,0,16.93056847,NA,0,0,0,0
"298",80459,0,0,3.823463552,NA,0,0,0,0
"299",80460,0,0,3.170361412,NA,0,0,0,0
"300",80461,0,0,103.2616402,NA,0,0,0,0
"301",80462,0,0,10.44044623,NA,0,0,0,0
"302",80463,185.6370468,409.3373731,95.73187833,NA,25.96449726,74.22194337,695.16086053,6.21500831571535
"303",80466,NA,0,11.83356444,NA,0,0,NA,NA
"304",80468,118.9851598,216.5027867,11.65735205,NA,0,0,335.4879465,28.7790867995618
"305",80470,19.73232354,34.6189402,4.673991004,NA,0,0,54.35126374,11.6284485129488
"306",80472,44.35692519,36.00190632,7.478620573,NA,0,0,80.35883151,10.7451408619551
"307",80473,413.9977372,685.6058394,89.74559522,31.02027088,12.18163465,49.75264012,1161.53785137,12.2524517655096
"308",80474,0,0,2.451596578,NA,0,0,0,0
"309",80475,0,0,45.68619682,NA,0,0,0,0
"310",80479,337.2187728,547.7236462,55.49856748,39.11261628,50.47256908,29.18533156,964.60031964,15.9453200178348
"311",80480,41.82797865,69.56129755,13.71373241,NA,0,0,111.3892762,8.12246242450927
"312",80482,150.8208859,195.3922981,92.73129589,NA,20.3282355,45.23198553,411.77340503,3.73350960619256
"313",80483,29.44445815,78.99668896,8.790732719,NA,0,0,108.44114711,12.3358485096036
"314",80484,87.30158917,230.0641153,30.36026963,NA,17.97985566,19.24626541,354.59182554,10.4533229888183
"315",80485,70.13850208,209.8255383,43.73475122,NA,15.8946415,35.73194809,331.59062997,6.40140923568286
