"Sample.Name","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)","Total (ug/g)","AB.Ratio"
80103,0,0,8.9946413205,NA,0,0,0,0
80104,0,0,6.7193214675,NA,0,0,0,0
80106,0,31.75368395,15.31105553,NA,0,0,31.75368395,2.07390560943253
80108,0,0,32.782880555,NA,0,0,0,0
80110,0,0,7.2118469375,NA,0,0,0,0
80111,21.2886112,74.749421395,26.772893275,NA,0,0,96.038032595,3.58713687043598
80112,0,0,28.7023616,NA,0,0,0,0
80113,0,0,23.38416742,NA,0,0,0,0
80114,0,0,15.90490684,NA,0,0,0,0
80115,0,0,20.2060043,NA,0,0,0,0
80116,0,0,12.25507665,NA,0,0,0,0
80117,0,11.617196405,54.233110265,NA,0,0,11.617196405,0.214208559093047
80118,0,0,21.22282823,NA,0,0,0,0
80119,0,0,13.41526519,NA,0,0,0,0
80120,0,0,1.9854309095,NA,0,0,0,0
80122,0,0,22.469605825,NA,0,0,0,0
80123,0,0,27.63456919,NA,0,0,0,0
80124,0,0,4.0508786075,NA,0,0,0,0
80127,0,0,37.53746429,NA,0,0,0,0
80130,0,11.628724295,24.88077769,NA,0,0,11.628724295,0.467377846459911
80131,0,0,29.23814789,NA,0,0,0,0
80132,0,0,7.2966360825,NA,0,0,0,0
80133,0,0,4.8240161435,NA,0,0,0,0
80134,0,0,3.0542837275,NA,0,0,0,0
80135,0,25.67598502,23.27402491,NA,0,0,25.67598502,1.10320346907285
80136,0,19.61473977,30.181197055,NA,0,0,19.61473977,0.649899330840176
80138,0,0,10.78770149,NA,0,0,0,0
80139,0,0,21.735563705,NA,0,0,0,0
80140,0,0,4.213676638,NA,0,0,0,0
80141,6.934670753,66.871211545,7.165858621,NA,0,0,73.805882298,10.2996564963907
80142,35.33375179,144.1019257,63.189138995,NA,NA,10.98023818,NA,2.83966011159288
80144,0,0,22.84254536,NA,0,0,0,0
80145,0,9.232884888,52.660133225,NA,0,0,9.232884888,0.17532969103118
80146,0,0,17.68373818,NA,0,0,0,0
80147,0,0,26.860654575,NA,0,0,0,0
80148,0,0,17.54784331,NA,0,0,0,0
80149,0,29.21803803,8.1653252005,NA,0,0,29.21803803,3.57830671927321
80150,247.6043898,459.1574321,92.52142098,NA,45.396851905,96.30852089,848.467194695,7.63889934259416
80151,134.543135,285.8018977,36.01717135,NA,14.89574296,24.369958795,459.610734455,11.6706842026893
80152,144.1381904,393.3757569,53.473728415,NA,19.589807875,39.255063075,596.35881825,10.0519257443291
80153,28.902425635,65.581364095,22.793721995,NA,0,0,94.48378973,4.14516724169602
80154,228.1237963,353.08381475,58.19779069,13.747338005,8.8049196165,18.571769625,608.5843002915,9.98676417367623
80155,15.18268583,37.527827215,26.593459415,NA,0,0,52.710513045,1.98208560317161
80157,0,0,43.52632382,NA,0,0,0,0
80160,0,9.188304976,43.0086886,NA,0,0,9.188304976,0.213638343206772
80162,90.437161375,251.62709995,57.6116187,NA,6.3015194645,0,348.3657807895,5.93741799039227
80163,139.8493831,183.15786855,36.894249125,2.7072914415,0,0,323.00725165,8.75494851665449
80164,70.73807428,137.70601635,69.540139915,NA,0,0,208.44409063,2.99746435490041
80165,0,7.9531181365,37.043114865,NA,0,0,7.9531181365,0.214698957295691
80167,0,0,17.831122725,NA,0,0,0,0
80168,0,0,33.051079375,NA,0,0,0,0
80170,0,0,1.8970164545,NA,0,0,0,0
80171,0,0,37.188037895,NA,0,0,0,0
80173,17.808367015,114.3889921,216.8314553,NA,12.71370158,0,144.911060695,0.609677959003211
80174,0,0,21.640069275,NA,0,0,0,0
80175,0,0,106.1945741,NA,0,0,0,0
80176,0,0,70.431673175,NA,0,0,0,0
80177,0,0,49.361732825,NA,0,0,0,0
80180,0,0,35.06801162,NA,0,0,0,0
80181,0,0,23.33080516,NA,0,0,0,0
80183,93.66843513,298.3384192,113.10264885,NA,0,0,392.00685433,3.46593875842723
80185,0,0,19.935176155,NA,0,0,0,0
80186,0,62.70118818,115.43133735,NA,0,0,62.70118818,0.543190346914923
80187,0,0,35.375358925,NA,0,0,0,0
80188,0,0,57.150886165,NA,0,0,0,0
80189,0,0,3.758561399,0,0,0,0,0
80191,94.656375995,119.63908325,35.44316945,NA,13.523352915,0,227.81881216,6.04617088624957
80192,372.9226049,598.595195,120.02635315,27.50390183,70.089470035,49.2158586,1090.823128535,8.09420410104329
80194,231.53939525,329.020149,67.49440802,NA,0,0,560.55954425,8.3052738840808
80196,232.66085595,270.0277919,33.605894405,NA,0,0,502.68864785,14.9583475384368
80197,385.12304915,579.75678905,101.07599885,NA,40.249657095,84.526799445,1089.65629474,9.54608264254616
80198,19.036025075,36.326831255,8.1324534565,NA,0,0,55.36285633,6.80764502694452
80199,53.631986525,95.662939895,17.166509155,NA,0,0,149.29492642,8.69687162788805
80200,64.699801745,166.0309814,88.632220795,NA,0,0,230.730783145,2.60323820248918
80201,627.69690575,625.3200691,192.7990241,NA,45.52441989,0,1298.54139474,6.49908359598382
80203,159.3210816,256.9038464,63.63765841,NA,32.73273045,0,448.95765845,6.54054436318786
80204,148.01608895,330.39330345,96.418660795,13.343309085,0,0,478.4093924,4.96179254571029
80205,0,19.682493845,88.67106176,NA,0,0,19.682493845,0.221972010420641
80206,11.22932124,27.402843695,164.6771361,NA,0,0,38.632164935,0.23459337373672
80208,0,0,128.40102855,NA,0,0,0,0
80209,144.67167935,324.0296497,297.9489963,NA,29.999680985,30.082650345,528.78366038,1.57309249190446
80211,406.79511015,858.59191915,116.6224682,34.689731205,21.448184925,36.794594545,1323.62980877,10.8502851022664
80212,23.452643945,27.286794055,24.780081985,NA,0,0,50.739438,2.047589593558
80213,209.73412565,381.68311805,78.71162835,NA,16.539666525,0,607.956910225,7.51372136617727
80214,0,0,58.258778635,NA,0,0,0,0
80215,0,0,12.70082879,NA,0,0,0,0
80217,0,0,3.638832494,NA,0,0,0,0
80218,0,0,53.99261312,NA,0,0,0,0
80219,0,0,15.137157495,NA,0,0,0,0
80220,0,0,2.722922679,0,0,0,0,0
80221,0,0,2.756250133,0,0,0,0,0
80223,0,0,2.542764525,0,0,0,0,0
80224,63.603311245,151.1509117,27.07020772,NA,10.950288645,0,225.70451159,7.93323143901609
80226,0,0,NA,NA,0,0,0,NA
80227,13.32820641,15.053944145,3.1628468385,NA,0,0,28.382150555,8.97360890496373
80228,0,0,2.782319103,NA,0,0,0,0
80229,123.85390975,352.5728857,77.16344442,8.1686652755,34.80729159,67.054364265,578.288451305,6.1742551674704
80230,30.052234595,55.635223215,7.4587180635,NA,0,0,85.68745781,11.4882285508713
80231,39.55932161,100.76496605,10.43773794,NA,0,0,140.32428766,13.4439366524276
80232,384.03764105,535.4185778,48.787502735,11.894794385,33.09459169,38.922787885,991.473598425,18.8461422968138
80233,0,0,47.41057648,NA,0,0,0,0
80234,0,0,2.5172958445,NA,0,0,0,0
80235,192.01126165,160.77322975,65.218977075,NA,24.61260035,28.59139034,405.98848209,5.40923067521141
80236,89.51225007,205.30276425,59.865694365,NA,16.18303762,32.07429414,343.07234608,4.92460694638433
80237,422.4791454,626.78343815,147.6971409,NA,NA,29.49365587,NA,7.10414959393435
80238,55.13548646,32.109981655,10.798909645,NA,0,0,87.245468115,8.07909974090722
80240,6.797532598,9.037065614,3.717472885,NA,0,0,15.834598212,4.25950604129289
80241,0,0,2.532005603,0,0,0,0,0
80242,216.39212765,523.9998678,100.44995724,12.933046335,19.558941285,18.946627465,778.8975642,7.37075471003954
80243,0,0,6.05800418,NA,0,0,0,0
80244,8.1353798085,19.14542894,55.96154207,NA,0,0,27.2808087485,0.487492083659445
80245,0,0,2.913956807,0,0,0,0,0
80246,11.3681363,54.023004935,12.981577655,NA,0,0,65.391141235,5.03722605779074
80247,0,0,2.3631672115,NA,0,0,0,0
80248,359.79839525,323.85467645,24.146180395,NA,NA,0,NA,28.3130938523745
80249,6.936297398,34.621528545,37.76984367,NA,0,0,41.557825943,1.10029118219541
80250,55.054085355,184.20458625,117.08709365,NA,0,0,239.258671605,2.04342480581334
80251,0,0,55.61703547,NA,0,0,0,0
80253,0,0,2.535067654,NA,0,0,0,0
80254,98.25471086,226.389079,70.49778608,NA,0,0,324.64378986,4.60502106394658
80255,0,0,2.485334913,NA,0,0,0,0
80256,0,5.745825917,3.0685662925,NA,0,0,5.745825917,1.87247899158757
80258,0,0,5.250832975,NA,0,0,0,0
80259,113.7294871,246.4581446,87.11166298,NA,10.084481222,NA,NA,4.13478080177043
80260,219.8857639,324.3091801,57.945096905,16.12109974,5.118714601,0,549.313658601,9.39156154820482
80262,0,0,43.330634615,NA,0,0,0,0
80263,0,0,67.96642164,NA,0,0,0,0
80264,0,0,46.928171465,NA,0,0,0,0
80266,0,117.7533338,103.4035706,47.74530856,12.851402265,0,130.604736065,1.13877434905522
80267,0,43.599427625,70.31690572,11.078749165,0,0,43.599427625,0.620041897159294
