"Sample Name","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)","Total (ug/g)","AB.Ratio"
90196,365.83741815,871.3987037,75.277059685,NA,43.41246129,0,1280.64858314,16.4357657834574
90197,366.0660821,1382.093619,79.02899336,29.96020069,176.80899025,0,1924.96869135,22.1204854924145
90198,264.24043345,870.91871705,49.56449062,NA,101.62598475,0,1236.78513525,22.9026695583944
90199,187.3385609,675.138572,77.170583885,NA,100.15948749,0,962.63662039,11.1762421570539
90200,211.9570633,709.93077715,53.336953045,37.76898996,96.876837585,0,1018.764678035,17.2842239351807
90201,1258.3465435,2179.996975,169.98299135,57.425362825,362.99231165,76.84098192,3878.17681207,20.2275738954396
90202,356.16971875,1156.954935,173.62661535,NA,391.95796315,72.701320375,1977.783937275,8.71481973371314
90203,215.4519692,1011.956523,103.0777613,16.794045235,393.0452114,51.91235576,1672.36605936,11.9075974945529
90204,1409.67028,3730.418038,272.61732465,NA,540.1739914,21.36829988,5701.63060928,18.85459159501
90205,0,0,69.131022435,NA,0,0,0,0
90206,358.2754822,684.8839299,167.67395745,28.862150845,50.38345498,0,1093.54286708,6.22135618413532
90207,0,24.61718801,83.12109537,NA,0,0,24.61718801,0.296160534223239
90208,0,0,87.95854528,NA,0,0,0,0
90209,318.683896,921.2577842,84.41101533,NA,180.2763847,0,1420.2180649,14.6893349801862
90210,383.559561,1029.681126,106.63130805,73.94096786,70.721853155,0,1483.962540155,13.2535248122186
90211,416.49128575,2060.567997,140.820992,141.207744,139.363849,0,2616.42313175,17.5901280595296
90212,1010.8953385,1763.829229,156.56739775,NA,126.3076311,0,2901.0321986,17.7222372433536
90213,706.9645909,753.4959714,123.52103875,43.50277925,86.90274402,0,1547.36330632,11.8235774008984
90214,235.91698495,838.49812705,132.24065475,NA,142.2716835,44.71385885,1261.40065435,8.12469594945045
90215,336.03725175,1159.8328185,96.357569445,50.978658615,154.08843055,0,1649.9585008,15.5241573533445
90216,0,0,8.3932397485,NA,0,0,0,0
90217,535.3840497,2302.2931815,138.64887945,42.02434385,304.31863465,63.847285875,3205.843151725,20.4666438160673
90218,0,29.193187115,62.075978815,NA,0,0,29.193187115,0.470281543235945
90220,0,0,NA,NA,0,0,0,NA
90221,95.08922352,307.9581511,80.16952024,NA,61.098065345,0,464.145439965,5.02743902437503
90222,0,0,19.38027362,NA,0,0,0,0
90223,471.6788035,1337.977443,121.4496977,31.07556046,152.98878775,0,1962.64503425,14.9004590441233
90224,142.5460977,261.47448015,36.08890821,NA,46.740520535,0,450.761098385,11.1951454862258
90225,545.96188095,1481.009875,155.6755677,72.635664975,131.52743505,0,2158.499191,13.0204873243575
90226,462.3460064,1009.2015925,112.76302635,60.36048601,143.9675849,0,1615.5151838,13.0499122498941
90227,213.54366885,756.79166345,54.734665345,NA,105.60321465,0,1075.93854695,17.7279851111511
90228,386.59705055,560.46562065,101.01540915,NA,167.8135017,0,1114.8761729,9.37542776066655
90229,656.63603615,1445.668232,135.40276465,63.5193659,334.31574805,75.078576115,2511.698592315,15.5263023881691
90230,1132.788008,3232.830356,195.8121897,127.74544945,138.44529855,0,4504.06366255,22.2949264327644
90231,743.2742778,1728.3321,143.09897955,NA,316.40603225,87.945230735,2875.957640785,17.2720056115872
90232,535.17892835,1902.321081,103.0750423,68.255327545,116.7371002,0,2554.23710955,23.6478196366454
90233,854.58066625,2235.292635,143.18278255,NA,195.5491721,0,3285.42247335,21.5799221541948
90234,700.19550465,1536.1904695,124.1098478,45.40402242,169.2502985,0,2405.63627265,18.0194079180073
90235,397.8123293,1083.4243885,96.300448575,NA,304.5838927,44.254257805,1830.074868305,15.3814103643182
90236,799.49968995,3129.2827135,181.04335715,59.519081205,382.15173625,95.076794755,4406.010934455,21.7007818751112
90237,1181.213037,2226.7548725,189.4499403,81.96175294,437.8342403,99.35241263,3945.15456243,17.9887515620399
90238,608.17652945,1064.389966,144.72180535,24.485385975,178.22518265,0,1850.7916781,11.5571146407759
90240,412.1655685,1596.0646655,81.454322465,NA,94.853322355,0,2103.083556355,24.6546797422925
90241,246.4171808,643.9715285,65.99028499,NA,119.1349187,0,1009.523628,13.4927241098432
90242,200.71084125,540.6546545,51.046143275,NA,107.7271901,0,849.09268585,14.5234379756381
90243,100.5630009,313.2435882,42.29297406,0,74.89713212,0,488.70372122,9.78428683007591
90244,319.2492786,890.2101434,100.8727665,59.96741914,102.4784968,0,1311.9379188,11.9899499534396
90247,0,0,6.6630388525,NA,0,0,0,0
90249,0,0,95.06025462,NA,0,0,0,0
90251,0,0,NA,NA,0,0,0,NA
90252,0,0,92.68188269,NA,0,0,0,0
90253,438.8795873,1285.12579,151.760352,91.744327285,NA,0,NA,11.3600512556797
90257,580.97146025,1841.0791215,108.5903667,93.413108175,128.60000555,0,2550.6505873,22.304470049736
90261,0,0,124.4206559,NA,0,0,0,0
90262,0,0,84.76633093,NA,0,0,0,0
90263,307.79914915,963.66384455,119.61271705,NA,96.665128925,0,1368.128122625,10.6298312174324
90264,27.84561028,221.763719,103.47517835,NA,36.08326404,0,285.69259332,2.41226285627368
90265,0,0,77.303156595,NA,0,0,0,0
90266,0,163.67053275,94.76552921,563.74108955,490.66077855,0,654.3313113,1.72711041783249
90267,0,200.0346894,177.352052,187.4888627,274.7949741,0,474.8296635,1.12789610914679
90268,388.23033715,1268.022293,113.79910885,NA,143.40050885,0,1799.653139,14.5541792628018
90269,292.23850995,764.4934897,122.22277125,54.422382905,124.18319265,0,1180.9151923,8.64595025004393
90270,22.66082672,419.4906066,154.8535782,222.6396802,58.44737996,0,500.59881328,2.85528715874387
90271,93.44359067,294.7128173,50.25007745,NA,22.42953128,0,410.58593925,7.72449372553156
90272,58.48087185,223.5227338,NA,NA,0,0,282.00360565,NA
90273,353.7894506,710.81709015,96.161029615,50.25650587,63.40499096,0,1128.01153171,11.0710809255305
90275,555.54853345,762.6341627,184.5582568,71.53862076,195.94929985,0,1514.131996,7.14236642134344
90276,438.94136715,947.2778583,126.241279,105.90178435,80.60777967,0,1466.82700512,10.9807127781872
90277,360.4281555,924.19269805,154.42809805,59.04673949,138.67657255,0,1423.2974261,8.318569416908
90278,0,0,43.221434795,NA,0,0,0,0
90280,0,0,NA,NA,0,0,0,NA
