"","Sample Name","AlphaVar","BetaVar","LutVar","LycoVar","PhytoVar","ZetaVar"
"142",90152,0.0181079576724394,0.0377680107047311,0.0140753159605015,Inf,0.0367022927916567,NA
"143",90153,3.35359487006651e-05,0.00346450504956637,0.0249234267607061,0.0273092435679993,0.0102176424640363,NA
"144",90154,0.0163569292162445,0.0117911504497276,0.00199936511445475,0.00283338991861997,0.0253390422398312,NA
"145",90155,0.00507337349735331,0.000909946927646647,0.108974409708486,Inf,NA,NA
"146",90156,NA,NA,0.127427680047129,Inf,NA,NA
"147",90157,NA,0.0187779196406633,0.0261639631261952,Inf,NA,NA
"148",90158,NA,NA,0.0632025255892615,Inf,NA,NA
"149",90159,0.0446061889093112,0.0240826148973262,0.00968012677664649,Inf,0.024883782561198,NA
"150",90160,0.0319590955305134,0.0111419014894026,0.0221796494769749,Inf,0.000995171619924237,NA
"151",90162,0.0235199341454693,0.0151694340041019,0.0258281645572947,0.0364858640670618,0.0171114095464148,NA
"152",90163,0.00472501011320112,1.31804889383e-05,0.0544155290867443,0.107588831188188,0.00418650251537084,NA
"153",90164,0.00639696155357795,0.0058275047485617,0.00446855401702353,0.0126267818082782,0.00968888707216675,0.0316789705935522
"154",90165,0.0223121207787331,0.013690224685393,0.0253448029838153,Inf,0.0030193212324103,NA
"155",90166,NA,NA,0.0849700237993855,Inf,NA,NA
"156",90167,0.00265962823096674,0.00417541920737918,0.0318020208632634,0.0478070596325211,0.00487869229915053,NA
"157",90168,NA,NA,0.0460119863222018,Inf,NA,NA
"158",90169,NA,NA,0.0461335008105796,Inf,NA,NA
"159",90170,NA,NA,0.00834764855074846,Inf,NA,NA
"160",90171,NA,NA,0.0140663935077146,Inf,NA,NA
"161",90172,0.00849254125248448,0.00980276980534045,0.00781179773671253,Inf,0.0118999530035279,NA
"162",90173,NA,0.0166754981585466,0.0092806613772039,0.00132772925546774,0.0292157317426784,NA
"163",90174,NA,NA,0.0138600248155153,Inf,NA,NA
"164",90175,NA,NA,0.0362155794654637,Inf,NA,NA
"165",90176,NA,NA,0.0346074658446252,Inf,NA,NA
"166",90177,NA,NA,0.0073109757496067,Inf,NA,NA
"167",90178,NA,NA,0.0131032462358502,Inf,NA,NA
"168",90179,NA,NA,0.017172746680028,Inf,NA,NA
"169",90180,NA,NA,0.0130779754997503,Inf,NA,NA
"170",90181,NA,NA,0.0125330248221825,Inf,NA,NA
"171",90182,NA,NA,0.0217046142921674,Inf,NA,NA
"172",90183,0.00639124335229352,0.0217270144605242,0.0272924684798229,0.0468978094322601,0.000957058387868039,NA
"173",90185,NA,NA,0.0194849261519632,Inf,NA,NA
"174",90186,NA,0.0177940880131499,0.0164829258384984,Inf,NA,NA
"175",90187,NA,NA,0.00364299483282312,Inf,NA,NA
"176",90188,NA,NA,0.119770529685636,Inf,NA,NA
"177",90189,NA,NA,0.0157777935234115,Inf,NA,NA
"178",90190,NA,NA,0.023797757142179,Inf,NA,NA
"179",90191,0.00888198868653008,0.00774942284083233,0.0225389183730397,0.0533845170910069,0.00474289833436015,NA
"180",90192,0.0455228080908046,0.0320094914922417,0.04221073337557,0.0533239725452608,0.025065552301832,NA
"181",90194,0.00237366375576168,0.00251140288907911,0.0120598469410453,0.0205071945343421,0.0104405118441334,NA
"182",90195,0.00983547547924889,0.000489293616150418,0.154867189844278,Inf,NA,NA
"183",90196,0.0221976465845048,0.0210803058607795,0.00791338561776462,Inf,0.0416437650380129,NA
"184",90197,0.0128242808491524,0.013668413139829,0.0294284261587026,0.0776262789276849,0.00813413759193918,NA
"185",90198,0.00806880060171705,0.00358165140697348,0.00874724430371658,Inf,0.00261325417052795,NA
"186",90199,0.0197577947356049,0.0217241107305354,0.0680366944908458,Inf,0.0305802869563997,NA
