"Sample.Name","Alpha","Beta","Lutein","Lycopene","Phytoene","Zeta","Total","AB.ratio","Outer.Color","Inner.Color"
80277,76.92833989,196.0015819,28.30134861,NA,0,0,272.9299217,9.643707284,"1","1"
80287,290.9811948,469.4557176,89.08335326,13.22941306,NA,12.97793962,NA,8.536240325,"1","1"
80288,88.85734942,182.4854454,48.69443927,NA,NA,23.42235066,NA,5.572356903,"1","1"
80290,16.96081145,49.78662911,12.05385768,NA,0,0,66.74744056,5.537433936,"1","1"
80291,70.8097887,258.4219213,99.69111827,NA,NA,15.86332752,NA,3.302517974,"1","1"
80292,16.20046158,53.34840648,4.44178087,NA,0,0,69.54886806,15.65787915,"1","1"
80293,66.73375658,220.7427256,34.68278725,NA,0,0,287.4764822,8.288736431,"1","1"
80294,305.9462318,466.9042262,91.26004516,NA,18.14769796,19.03229677,810.0304527,8.468661797,"1","1"
80295,32.80312552,61.43825393,10.7756665,NA,0,0,94.24137944,8.745758737,"1","1"
80302,30.64878741,127.0607045,21.04882374,NA,0,0,157.7094919,7.492556062,"1","1"
80313,199.5842661,549.222746,106.9650236,NA,23.16468622,23.98633561,795.9580339,7.000484708,"1","1"
80314,211.8747273,276.0106296,75.3257631,NA,0,0,487.8853568,6.477005167,"1","1"
80315,485.9399114,610.5197609,45.80147151,20.48172811,12.43494223,0,1108.894614,23.93939837,"1","1"
80316,847.4500352,1018.624205,113.1447505,22.66880601,55.46632336,NA,NA,16.49280441,"1","1"
80317,25.85766607,45.50719243,8.825947063,NA,0,0,71.36485849,8.085801782,"1","1"
80319,62.93275056,116.4233388,10.88504864,NA,0,0,179.3560894,16.47728874,"1","1"
80322,43.80778908,101.1283506,23.31335232,NA,0,0,144.9361396,6.216872532,"1","1"
80324,359.265316,623.1918873,214.9488343,NA,18.58150847,23.80851885,1024.847231,4.570656112,"1","1"
80331,159.7595808,385.0475659,35.32458992,NA,14.6957884,0,559.5029351,15.42288666,"1","1"
80332,85.80230027,222.2225512,159.4944314,NA,NA,10.69794734,NA,1.931257718,"1","2"
80336,0,102.5951182,87.18812199,57.03289851,31.21448842,0,133.8096066,1.176709807,"1","1"
80340,212.5574514,334.3471806,56.75584414,16.93174612,8.446905208,13.89923968,569.2507768,9.636093695,"1","1"
80342,196.2431085,401.3167557,142.4640584,NA,21.50166385,46.35795706,665.4194851,4.19446049,"1","1"
80343,77.68409954,206.6995882,80.45362202,NA,5.700321017,19.7719093,309.855918,3.534753073,"1","1"
80344,193.4736598,362.7476615,39.33815977,15.96378237,5.953400383,0,562.1747216,14.13948503,"1","1"
80347,136.7741925,310.6950622,86.06903894,11.69931781,0,0,447.4692547,5.198957258,"1","1"
80348,205.4018739,313.4113714,51.71379525,NA,8.52820522,0,527.3414504,10.03239547,"1","1"
80349,9.817350017,24.68273164,6.661313064,NA,0,0,34.50008165,5.179171332,"1","1"
80350,10.1830165,18.10895512,6.901724121,NA,0,0,28.29197161,4.099261447,"1","1"
80351,225.8231347,385.5757286,57.26460627,14.57346112,NA,NA,NA,10.67673216,"1","1"
80352,205.4407301,566.0330176,76.79710508,NA,0,32.81939259,804.2931403,10.04560975,"1","1"
80356,85.53351534,243.7331017,170.8768039,NA,0,0,329.266617,1.926924016,"1","1"
80357,33.38260612,90.67772837,16.85023853,NA,0,0,124.0603345,7.362526905,"1","1"
80358,30.14985404,53.37752103,11.44077883,NA,0,0,83.52737507,7.300846939,"1","1"
80359,62.14223127,137.6472284,33.04902672,NA,0,0,199.7894597,6.045244884,"1","1"
80360,129.2312782,126.6691499,25.32774069,NA,6.085633955,0,261.986062,10.10356317,"1","1"
80361,129.9562416,223.4953281,73.42904312,NA,0,0,353.4515697,4.813511857,"1","1"
80363,296.4006999,420.0328911,63.37641069,18.42628802,13.92502165,25.9396673,756.2982799,11.30442042,"1","1"
80365,26.23796178,46.1399402,9.857346586,NA,0,0,72.37790198,7.342533952,"1","1"
80366,140.7138639,352.8715775,80.58234144,13.01572295,0,NA,NA,6.12523082,"1","1"
80367,424.0172241,699.3706954,105.6856129,18.84590107,16.20370406,0,1139.591624,10.62952553,"1","1"
80369,66.72503876,130.6906139,35.90856889,NA,0,0,197.4156526,5.497731008,"1","1"
80370,153.817901,379.0210861,68.20082061,NA,18.27857787,29.28943159,580.4069965,7.812794366,"1","1"
80371,224.9136963,436.1952122,143.1243781,NA,7.638482817,39.16313509,707.9105264,4.619121617,"1","1"
80372,189.3590547,306.3330361,119.7335346,12.20553423,27.61410921,32.82753684,556.1337368,4.139960393,"1","1"
80373,48.67779997,62.56060583,63.36091441,NA,0,0,111.2384058,1.75563132,"1","2"
80378,207.8431038,494.9021057,96.32310232,12.00518761,0,17.12089073,719.8661001,7.295707805,"1","1"
80383,192.3716884,229.2122531,82.14069138,9.170637019,7.224097721,0,428.8080392,5.132461566,"1","1"
80384,78.88479164,164.4810647,57.29693195,NA,18.02152997,17.31431891,278.7017052,4.247450047,"1","1"
80388,53.09001184,128.1107882,79.69703095,NA,0,0,181.2008,2.273620458,"1","2"
80394,116.4374303,215.83411,72.19803805,NA,0,0,332.2715402,4.602223955,"1","1"
80397,25.58360209,45.71122891,14.02851202,NA,0,0,71.294831,5.082137785,"1","1"
80398,69.27128582,157.9617229,37.780179,NA,0,0,227.2330087,6.014609107,"1","1"
80399,478.7844339,820.2766815,176.7103539,49.20509568,26.08255026,38.53928662,1363.682952,7.351358235,"1","1"
80401,36.29808476,72.0016091,25.61315282,NA,0,0,108.2996939,4.228284375,"1","1"
80403,74.32692266,179.4066336,27.74038095,NA,0,0,253.7335563,9.146722127,"1","1"
80404,78.60120192,220.9919364,66.47342721,NA,13.11560037,0,312.7087386,4.506960914,"1","1"
80413,525.7869407,756.8719461,74.24214231,23.94278432,10.81190206,0,1293.470789,17.27669551,"1","1"
80414,11.26982944,16.77008897,11.94678445,NA,0,0,28.03991841,2.347068244,"1","1"
80419,144.0802895,239.3247168,26.34945903,NA,13.70647919,0,397.1114855,14.55077336,"1","1"
80427,554.4922584,822.288885,108.9072883,NA,77.98194195,54.53705644,1509.300142,12.64177233,"1","1"
80429,23.67236351,45.59466351,4.425600087,NA,0,0,69.26702702,15.65144289,"1","1"
80436,180.562861,447.0082164,177.7060446,NA,33.84496107,84.3014239,745.7174624,3.531512272,"1","1"
80447,18.51939219,22.60111655,13.10105473,NA,0,0,41.12050873,3.138717422,"1","2"
80448,339.7264097,616.3661353,66.46533646,29.3658989,53.31704247,13.66946328,1023.079051,14.38482969,"1","1"
80463,185.6370468,409.3373731,95.73187833,NA,25.96449726,74.22194337,695.1608605,6.215008316,"1","1"
80465,16.8657562,22.71312083,9.095745038,NA,0,0,39.57887703,4.351361748,"1","1"
80468,118.9851598,216.5027867,11.65735205,NA,0,0,335.4879465,28.77908681,"1","1"
80470,19.73232354,34.6189402,4.673991004,NA,0,0,54.35126374,11.62844851,"1","1"
80472,44.35692519,36.00190632,7.478620573,NA,0,0,80.3588315,10.74514086,"1","1"
80473,413.9977372,685.6058394,89.74559522,31.02027088,12.18163465,49.75264012,1161.537851,12.25245177,"1","1"
80479,337.2187728,547.7236462,55.49856748,39.11261628,50.47256908,29.18533156,964.6003195,15.94532002,"1","1"
80480,41.82797865,69.56129755,13.71373241,NA,0,0,111.3892762,8.122462427,"1","1"
80482,150.8208859,195.3922981,92.73129589,NA,20.3282355,45.23198553,411.7734049,3.733509605,"1","1"
80483,29.44445815,78.99668896,8.790732719,NA,0,0,108.4411471,12.33584851,"1","1"
80484,87.30158917,230.0641153,30.36026963,NA,17.97985566,19.24626541,354.5918255,10.45332299,"1","1"
80485,70.13850208,209.8255383,43.73475122,NA,15.8946415,35.73194809,331.5906299,6.401409235,"1","1"
80486,13.72629178,38.50299404,5.083918436,NA,0,0,52.22928581,10.27343111,"1","1"
80487,36.40941015,64.63067044,15.03091878,NA,0,0,101.0400806,6.722149329,"1","1"
80490,12.37280095,46.8334447,10.24095886,NA,0,0,59.20624565,5.781318574,"1","1"
80491,188.3250675,438.3668301,82.48662917,14.18714037,21.6215576,33.43264834,681.7461035,7.597496756,"1","1"
80492,6.631116122,23.33904057,5.322347275,NA,0,0,29.97015669,5.631003605,"1","1"
80493,312.9194325,424.0511294,136.4419891,NA,14.66287206,18.4596592,770.0930931,5.401347246,"1","1"
80494,17.99880042,12.78983686,4.078305557,NA,0,0,30.78863728,7.549369916,"1","1"
80547,266.9949183,414.0564489,68.65506511,NA,0,0,681.0513672,9.919899807,"1","1"
