"Sample.Name","ID","Exterior","Interior","Color","Alpha..ug.g.","Beta..ug.g.","Lut..ug.g.","Lycopene..ug.g.","Phyto..ug.g.","Zeta..ug.g.","AB.Ratio","Total"
80134,"PI 179687","White","White","White",0,0,3.054283728,NA,0,0,0,0
80136,"PI 179690",NA,"Yellow",NA,0,19.61473977,30.18119706,NA,0,0,0.64989933073251,19.61473977
80138,"PI 180436","Yellow","Yellow","Yellow",0,0,10.78770149,NA,0,0,0,0
80139,"PI 180834","Yellow","Yellow","Yellow",0,0,21.73556371,NA,0,0,0,0
80140,"PI 181052","White","White","White",0,0,4.213676638,NA,0,0,0,0
80141,"PI 181765","Orange","White","Orange",6.934670753,66.87121155,7.165858621,NA,0,0,10.2996564970885,73.805882303
80142,"PI 181766","Orange","Orange","Orange",35.33375179,144.1019257,63.189139,NA,NA,10.98023818,2.83966011136819,NA
80144,"PI 181880","Yellow","Yellow","Yellow",0,0,22.84254536,NA,0,0,0,0
80145,"PI 182204","Orange","Yellow","Orange",0,9.232884888,52.66013323,NA,0,0,0.175329691014532,9.232884888
80146,"PI 182206","White","Yellow","Yellow",0,0,17.68373818,NA,0,0,0,0
80147,"PI 182207","Yellow","Yellow","Yellow",0,0,26.86065458,NA,0,0,0,0
80148,"PI 182970","Yellow","Yellow","Yellow",0,0,17.54784331,NA,0,0,0,0
80150,"PI 187234","Orange","Orange","Orange",247.6043898,459.1574321,92.52142098,NA,45.39685191,96.30852089,7.63889934259416,848.4671947
80151,"PI 187235","Orange","Orange","Orange",134.543135,285.8018977,36.01717135,NA,14.89574296,24.3699588,11.6706842026893,459.61073446
80152,"PI 187236","Orange","Yellow","Orange",144.1381904,393.3757569,53.47372842,NA,19.58980788,39.25506308,10.0519257433892,596.35881826
80153,"PI 187237","Orange","Yellow","Orange",28.90242564,65.5813641,22.793722,NA,0,0,4.14516724122546,94.48378974
80154,"PI 193504","Orange","Orange","Orange",228.1237963,353.0838148,58.19779069,13.74733801,8.804919617,18.57176963,9.98676417453537,608.584300347
80155,"PI 196847","Orange","Yellow","Orange",15.18268583,37.52782722,26.59345942,NA,0,0,1.98208560298696,52.71051305
80157,"PI 204575","Yellow","Yellow","Yellow",0,0,43.52632382,NA,0,0,0,0
80160,"PI 204704","Orange","Yellow","Orange",0,9.188304976,43.0086886,NA,0,0,0.213638343206772,9.188304976
80162,"PI 205997","Orange","Yellow","Orange",90.43716138,251.6271,57.6116187,NA,6.301519465,0,5.93741799134694,348.365780845
80163,"PI 205998","Orange","Orange","Orange",139.8493831,183.1578686,36.89424913,2.707291442,0,0,8.75494851682322,323.0072517
80164,"PI 205999","Orange","Yellow","Orange",70.73807428,137.7060164,69.54013992,NA,0,0,2.9974643554039,208.44409068
80165,"PI 206960",NA,"Yellow",NA,0,7.953118137,37.04311487,NA,0,0,0.214698957280209,7.953118137
