Sample.Name,PI,Alpha,Beta,Lutein,Lycopene,Phytoene,Zeta,Total,AB.Ratio,Year
80348,PI 325991,205.4018739,313.4113714,51.71379525,NA,8.52820522,0,527.3414504,10.03239547,2018
80356,PI 325998,85.53351534,243.7331017,170.8768039,NA,0,0,329.266617,1.926924016,2018
80357,PI 325999,33.38260612,90.67772837,16.85023853,NA,0,0,124.0603345,7.362526905,2018
80359,PI 326001,62.14223127,137.6472284,33.04902672,NA,0,0,199.7894597,6.045244884,2018
80360,PI 326002,129.2312782,126.6691499,25.32774069,NA,6.085633955,0,261.986062,10.10356317,2018
80366,PI 326009,140.7138639,352.8715775,80.58234144,13.01572295,0,NA,NA,6.12523082,2018
80367,PI 326010,424.0172241,699.3706954,105.6856129,18.84590107,16.20370406,0,1139.591624,10.62952553,2018
80371,PI 326014,224.9136963,436.1952122,143.1243781,NA,7.638482817,39.16313509,707.9105264,4.619121617,2018
80378,PI 341206,207.8431038,494.9021057,96.32310232,12.00518761,0,17.12089073,719.8661001,7.295707805,2018
80384,PI 344360,78.88479164,164.4810647,57.29693195,NA,18.02152997,17.31431891,278.7017052,4.247450047,2018
80397,PI 357980,25.58360209,45.71122891,14.02851202,NA,0,0,71.294831,5.082137785,2018
80401,PI 357984,36.29808476,72.0016091,25.61315282,NA,0,0,108.2996939,4.228284375,2018
80403,PI 357986,74.32692266,179.4066336,27.74038095,NA,0,0,253.7335563,9.146722127,2018
80414,PI 378883,11.26982944,16.77008897,11.94678445,NA,0,0,28.03991841,2.347068244,2018
80419,PI 379420,144.0802895,239.3247168,26.34945903,NA,13.70647919,0,397.1114855,14.55077336,2018
80429,PI 419184,23.67236351,45.59466351,4.425600087,NA,0,0,69.26702702,15.65144289,2018
80436,PI 430530,180.562861,447.0082164,177.7060446,NA,33.84496107,84.3014239,745.7174624,3.531512272,2018
80447,PI 432904,18.51939219,22.60111655,13.10105473,NA,0,0,41.12050873,3.138717422,2018
80463,PI 458858,185.6370468,409.3373731,95.73187833,NA,25.96449726,74.22194337,695.1608605,6.215008316,2018
80465,PI 458860,16.8657562,22.71312083,9.095745038,NA,0,0,39.57887703,4.351361748,2018
80473,PI 502239,413.9977372,685.6058394,89.74559522,31.02027088,12.18163465,49.75264012,1161.537851,12.25245177,2018
80480,PI 502914,41.82797865,69.56129755,13.71373241,NA,0,0,111.3892762,8.122462427,2018
80483,PI 502916,29.44445815,78.99668896,8.790732719,NA,0,0,108.4411471,12.33584851,2018
80484,PI 502917,87.30158917,230.0641153,30.36026963,NA,17.97985566,19.24626541,354.5918255,10.45332299,2018
