Sample Name,Outer Color,Inner Color,Color,Alpha (ug/g),Beta (ug/g),Lut (ug/g),Lycopene (ug/g),Phyto (ug/g),Zeta (ug/g),Total (ug/g),AB.Ratio
90232,Orange,Orange,Orange,535.1789284,1902.321081,103.0750423,68.25532755,116.7371002,0,2554.23711,23.64781964
90233,Orange,Yellow,Orange,854.5806663,2235.292635,143.1827826,NA,195.5491721,0,3285.422473,21.57992215
90234,Orange,Orange,Orange,700.1955047,1536.19047,124.1098478,45.40402242,169.2502985,0,2405.636273,18.01940792
90235,Orange,Yellow,Orange,397.8123293,1083.424389,96.30044858,NA,304.5838927,44.25425781,1830.074868,15.38141036
90236,Orange,Orange,Orange,799.49969,3129.282714,181.0433572,59.51908121,382.1517363,95.07679476,4406.010934,21.70078188
90237,Orange,Orange,Orange,1181.213037,2226.754873,189.4499403,81.96175294,437.8342403,99.35241263,3945.154562,17.98875156
90238,Orange,Yellow,Orange,608.1765295,1064.389966,144.7218054,24.48538598,178.2251827,0,1850.791678,11.55711464
90240,Orange,Orange,Orange,412.1655685,1596.064666,81.45432247,NA,94.85332236,0,2103.083556,24.65467974
90241,Orange,Orange,Orange,246.4171808,643.9715285,65.99028499,NA,119.1349187,0,1009.523628,13.49272411
90242,Orange,Orange,Orange,200.7108413,540.6546545,51.04614328,NA,107.7271901,0,849.0926859,14.52343798
90243,Orange,Yellow,Orange,100.5630009,313.2435882,42.29297406,0,74.89713212,0,488.7037212,9.78428683
90244,Orange,Orange,Orange,319.2492786,890.2101434,100.8727665,59.96741914,102.4784968,0,1311.937919,11.98994995
90253,Orange,Orange,Orange,438.8795873,1285.12579,151.760352,91.74432729,NA,0,NA,11.36005126
90257,Orange,Orange,Orange,580.9714603,1841.079122,108.5903667,93.41310818,128.6000056,0,2550.650587,22.30447005
90263,Orange,Orange,Orange,307.7991492,963.6638446,119.6127171,NA,96.66512893,0,1368.128123,10.62983122
90264,Orange,Yellow,Orange,27.84561028,221.763719,103.4751784,NA,36.08326404,0,285.6925933,2.412262856
90268,Orange,Orange,Orange,388.2303372,1268.022293,113.7991089,NA,143.4005089,0,1799.653139,14.55417926
90269,Orange,Yellow,Orange,292.23851,764.4934897,122.2227713,54.42238291,124.1831927,0,1180.915192,8.64595025
90271,Orange,Yellow,Orange,93.44359067,294.7128173,50.25007745,NA,22.42953128,0,410.5859393,7.724493726
90272,Orange,Orange,Orange,58.48087185,223.5227338,NA,NA,0,0,282.0036057,NA
90273,Orange,Orange,Orange,353.7894506,710.8170902,96.16102962,50.25650587,63.40499096,0,1128.011532,11.07108093
90275,Orange,Orange,Orange,555.5485335,762.6341627,184.5582568,71.53862076,195.9492999,0,1514.131996,7.142366421
90276,Orange,Orange,Orange,438.9413672,947.2778583,126.241279,105.9017844,80.60777967,0,1466.827005,10.98071278
90277,Orange,Orange,Orange,360.4281555,924.1926981,154.4280981,59.04673949,138.6765726,0,1423.297426,8.318569417
90286,Orange,Yellow,Orange,255.9616726,911.8272218,130.7655406,NA,140.3122492,0,1308.101144,8.930402375
90287,Orange,Orange,Orange,256.3730942,845.3408544,119.8024969,65.23826451,109.7698748,0,1211.483823,9.196085032
90288,Orange,Orange,Orange,311.5458751,1002.234239,85.98007311,NA,263.0883681,0,1576.868482,15.28005346
90290,Orange,Orange,Orange,338.2827867,1507.209118,193.0626006,97.25984974,153.874884,0,1999.366789,9.559033699
90291,Orange,Orange,Orange,388.0796874,937.2320261,162.7121416,NA,143.6652403,0,1468.976954,8.145131032
90292,Orange,Orange,Orange,313.3505666,672.6610443,142.6154732,NA,199.9663925,0,1185.978003,6.913777227
90293,Orange,Orange,Orange,229.8686507,805.6088092,172.1733956,NA,181.292309,48.71644341,1265.486212,6.014154838
90294,Orange,Orange,Orange,135.4460951,426.5315461,47.81125181,30.0787393,86.02932397,0,648.0069651,11.75408758
90295,Orange,Orange,Orange,308.3535443,581.2645481,149.1221792,45.04587745,64.02397771,0,953.64207,5.965699382
90296,Orange,Orange,Orange,265.6347068,768.9866865,NA,NA,155.7489854,21.39155683,1211.761935,NA
90297,Orange,Orange,Orange,257.3595128,662.5600896,110.7413167,46.32933232,96.64179436,0,1016.561397,8.306923109
90302,Orange,Yellow,Orange,219.6325238,616.1762735,162.5879292,NA,62.34412803,0,898.1529253,5.14065713
90345,Orange,Orange,Orange,174.9602407,582.5165604,33.12014679,42.92761594,26.99923657,0,784.4760376,22.870575
90348,Orange,Orange,Orange,326.544156,605.0857035,63.20108809,23.42436727,172.3945766,0,1104.024436,14.74072501
90356,Orange,Orange,Orange,70.54996598,248.9167413,31.6091397,NA,0,0,319.4667072,10.10678273
90357,Orange,Orange,Orange,161.3471215,594.2120775,30.12091138,24.50576004,0,0,755.559199,25.08420776
90359,Orange,Orange,Orange,60.52450424,222.4686435,19.96026656,NA,0,0,282.9931477,14.17782408
90360,Orange,Orange,Orange,28.19794999,56.13681663,9.456990349,NA,0,0,84.33476662,8.917717319
90362,Orange,Orange,Orange,57.97160642,162.4294423,18.60119883,NA,0,0,220.4010487,11.84875505
90366,Orange,Yellow,Orange,153.6017956,450.8206209,69.78647382,NA,47.57582431,0,651.9982408,8.661025316
90367,Orange,Yellow,Orange,151.8203716,735.9854557,86.63790558,26.92478946,61.39199599,0,949.1978232,10.24731405
90371,Orange,Orange,Orange,180.7868724,517.1641104,58.29962928,NA,0,0,697.9509828,11.9717911
90378,Orange,Orange,Orange,78.21899892,377.4601846,29.59384778,NA,0,0,455.6791835,15.39776737
90384,Orange,Yellow,Orange,35.23127954,171.5446237,20.15902197,NA,0,0,206.7759032,10.25723885
