"","Sample.Name","Alpha..ug.g.","Beta..ug.g.","Lut..ug.g.","Lycopene..ug.g.","Phyto..ug.g.","Zeta..ug.g.","Total..ug.g.","AB.Ratio","PI"
"170",80639,25.58278021,31.90709374,4.420806133,NA,0,0,57.48987395,13.00438703,"PI 652188"
"171",80642,54.01089242,135.6089784,46.41681232,NA,0,0,189.6198708,4.085154955,"PI 652200"
"172",80646,126.3067985,192.4762783,52.72279468,NA,0,0,318.7830768,6.046399451,"PI 652204"
"173",80649,92.90509416,169.5614517,17.97569063,0,0,0,262.4665459,14.60119398,"PI 652207"
"174",80656,967.1478078,1062.274381,120.4926292,19.3376291,64.29782759,47.18730078,2140.907317,16.84270816,"PI 652216"
"175",80658,0,11.26828601,4.01743205,NA,0,0,11.26828601,2.80484794,"PI 652231"
"176",80666,18.21288925,16.51546758,6.027772965,NA,0,0,34.72835683,5.761390987,"PI 652248"
"177",80670,47.80634276,427.9758799,122.0230399,NA,13.55307114,0,489.3352937,3.899117929,"PI 652254"
"178",80686,42.87703458,58.83782934,17.13722185,NA,0,0,101.7148639,5.935318152,"PI 652277"
"179",80692,122.2671343,249.8834023,35.42224972,NA,NA,0,NA,10.50612368,"PI 652283"
"180",80693,195.5910425,366.8241792,171.5532669,NA,21.05256161,29.94617844,613.4139617,3.278370806,"PI 652284"
"181",80695,91.39212417,178.6484353,95.66570869,NA,0,0,270.0405594,2.822751884,"PI 652286"
"182",80711,62.06207722,58.36041103,28.49950793,NA,0,0,120.4224883,4.22542342,"PI 652400"
"183",80712,687.8535112,703.0624511,130.5143398,NA,0,0,1390.915962,10.65718882,"PI 652401"
"184",80714,107.5110818,129.9386455,39.44890649,NA,0,0,237.4497273,6.019171339,"PI 652403"
"185",80033,128.9307762,171.2995789,17.47463053,5.147324195,6.802129655,0,307.0324847,17.18092721,"Seminis 397694"
"186",80719,331.7499887,614.417256,54.00665116,NA,13.27292792,0,959.4401726,17.51945778,"Seminis 397694"
"187",80065,107.5194991,104.0323155,10.62061893,NA,5.009172781,0,216.5609873,19.91897234,"Vilmorin I04428"
"188",80723,392.7093711,709.4055258,68.30773498,16.72942804,23.83803891,58.99421418,1184.94715,16.13455485,"Vilmorin I04428"
"189",80771,34.12921809,71.54644963,6.402704228,NA,0,0,105.6756677,16.50484919,"W133B"
"190",80773,13.82623821,27.44469388,5.350826516,NA,0,0,41.27093209,7.713001339,"W255B"
"191",80774,14.42112027,13.99091916,4.298116306,NA,0,0,28.41203943,6.610346815,"W259B"
"192",80783,478.2809524,735.8948238,86.11518,50.05522048,12.42551734,0,1226.601293,14.09943957,"W278B"
"193",80784,52.3480382,81.17500045,11.82125644,NA,0,0,133.5230387,11.29516472,"W279B"
"194",80786,395.6803148,930.2543815,73.81690695,NA,14.64783983,0,1340.582536,17.96247975,"W281C"
"195",80788,699.3168034,944.1275954,152.0194604,56.45702862,30.48041308,63.14670615,1737.071518,10.81075011,"W285B"
