"","Sample Name","Outer Color","Inner Color","Color","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)","Total (ug/g)","AB.Ratio","PI"
"56",90209,"Orange","Orange","Orange",318.683896,921.2577842,84.41101533,NA,180.2763847,0,1420.218065,14.68933498,"PI 230723"
"57",90211,"Orange","Orange","Orange",416.4912858,2060.567997,140.820992,141.207744,139.363849,0,2616.423132,17.59012806,"PI 234619"
"58",90212,"Orange","Orange","Orange",1010.895339,1763.829229,156.5673978,NA,126.3076311,0,2901.032199,17.72223724,"PI 234620"
"59",90213,"Orange","Orange","Orange",706.9645909,753.4959714,123.5210388,43.50277925,86.90274402,0,1547.363306,11.8235774,"PI 234621"
"60",90224,"Orange","Orange","Orange",142.5460977,261.4744802,36.08890821,NA,46.74052054,0,450.7610984,11.19514549,"PI 261614"
"61",90227,"Orange","Orange","Orange",213.5436689,756.7916635,54.73466535,NA,105.6032147,0,1075.938547,17.72798511,"PI 261647"
"62",90229,"Orange","Orange","Orange",656.6360362,1445.668232,135.4027647,63.5193659,334.3157481,75.07857612,2511.698592,15.52630239,"PI 261649"
"63",90230,"Orange","Orange","Orange",1132.788008,3232.830356,195.8121897,127.7454495,138.4452986,0,4504.063663,22.29492643,"PI 261650"
"64",90231,"Orange","Orange","Orange",743.2742778,1728.3321,143.0989796,NA,316.4060323,87.94523074,2875.957641,17.27200561,"PI 261781"
"65",90232,"Orange","Orange","Orange",535.1789284,1902.321081,103.0750423,68.25532755,116.7371002,0,2554.23711,23.64781964,"PI 261782"
"66",90235,"Orange","Yellow","Orange",397.8123293,1083.424389,96.30044858,NA,304.5838927,44.25425781,1830.074868,15.38141036,"PI 263019"
"67",90236,"Orange","Orange","Orange",799.49969,3129.282714,181.0433572,59.51908121,382.1517363,95.07679476,4406.010934,21.70078188,"PI 263022"
"68",90237,"Orange","Orange","Orange",1181.213037,2226.754873,189.4499403,81.96175294,437.8342403,99.35241263,3945.154562,17.98875156,"PI 263023"
"69",90238,"Orange","Yellow","Orange",608.1765295,1064.389966,144.7218054,24.48538598,178.2251827,0,1850.791678,11.55711464,"PI 263024"
"70",90240,"Orange","Orange","Orange",412.1655685,1596.064666,81.45432247,NA,94.85332236,0,2103.083556,24.65467974,"PI 264232"
"71",90242,"Orange","Orange","Orange",200.7108413,540.6546545,51.04614328,NA,107.7271901,0,849.0926859,14.52343798,"PI 264234"
"72",90271,"Orange","Yellow","Orange",93.44359067,294.7128173,50.25007745,NA,22.42953128,0,410.5859393,7.724493726,"PI 276325"
"73",90272,"Orange","Orange","Orange",58.48087185,223.5227338,NA,NA,0,0,282.0036057,NA,"PI 277285"
"74",90273,"Orange","Orange","Orange",353.7894506,710.8170902,96.16102962,50.25650587,63.40499096,0,1128.011532,11.07108093,"PI 277668"
"75",90275,"Orange","Orange","Orange",555.5485335,762.6341627,184.5582568,71.53862076,195.9492999,0,1514.131996,7.142366421,"PI 277709"
"76",90276,"Orange","Orange","Orange",438.9413672,947.2778583,126.241279,105.9017844,80.60777967,0,1466.827005,10.98071278,"PI 277710"
"77",90277,"Orange","Orange","Orange",360.4281555,924.1926981,154.4280981,59.04673949,138.6765726,0,1423.297426,8.318569417,"PI 277711"
"78",90287,"Orange","Orange","Orange",256.3730942,845.3408544,119.8024969,65.23826451,109.7698748,0,1211.483823,9.196085032,"PI 284700"
"79",90288,"Orange","Orange","Orange",311.5458751,1002.234239,85.98007311,NA,263.0883681,0,1576.868482,15.28005346,"PI 284701"
"80",90290,"Orange","Orange","Orange",338.2827867,1507.209118,193.0626006,97.25984974,153.874884,0,1999.366789,9.559033699,"PI 284773"
"81",90291,"Orange","Orange","Orange",388.0796874,937.2320261,162.7121416,NA,143.6652403,0,1468.976954,8.145131032,"PI 285612"
"82",90292,"Orange","Orange","Orange",313.3505666,672.6610443,142.6154732,NA,199.9663925,0,1185.978003,6.913777227,"PI 285613"
"83",90293,"Orange","Orange","Orange",229.8686507,805.6088092,172.1733956,NA,181.292309,48.71644341,1265.486212,6.014154838,"PI 285614"
"84",90294,"Orange","Orange","Orange",135.4460951,426.5315461,47.81125181,30.0787393,86.02932397,0,648.0069651,11.75408758,"PI 285615"
"85",90295,"Orange","Orange","Orange",308.3535443,581.2645481,149.1221792,45.04587745,64.02397771,0,953.64207,5.965699382,"PI 285616"
"86",90302,"Orange","Yellow","Orange",219.6325238,616.1762735,162.5879292,NA,62.34412803,0,898.1529253,5.14065713,"PI 285623"
"87",90348,"Orange","Orange","Orange",326.544156,605.0857035,63.20108809,23.42436727,172.3945766,0,1104.024436,14.74072501,"PI 325991"
"88",90356,"Orange","Orange","Orange",70.54996598,248.9167413,31.6091397,NA,0,0,319.4667072,10.10678273,"PI 325998"
"89",90357,"Orange","Orange","Orange",161.3471215,594.2120775,30.12091138,24.50576004,0,0,755.559199,25.08420776,"PI 325999"
"90",90359,"Orange","Orange","Orange",60.52450424,222.4686435,19.96026656,NA,0,0,282.9931477,14.17782408,"PI 326001"
"91",90360,"Orange","Orange","Orange",28.19794999,56.13681663,9.456990349,NA,0,0,84.33476662,8.917717319,"PI 326002"
"92",90366,"Orange","Yellow","Orange",153.6017956,450.8206209,69.78647382,NA,47.57582431,0,651.9982408,8.661025316,"PI 326009"
"93",90367,"Orange","Yellow","Orange",151.8203716,735.9854557,86.63790558,26.92478946,61.39199599,0,949.1978232,10.24731405,"PI 326010"
"94",90371,"Orange","Orange","Orange",180.7868724,517.1641104,58.29962928,NA,0,0,697.9509828,11.9717911,"PI 326014"
"95",90378,"Orange","Orange","Orange",78.21899892,377.4601846,29.59384778,NA,0,0,455.6791835,15.39776737,"PI 341206"
"96",90384,"Orange","Yellow","Orange",35.23127954,171.5446237,20.15902197,NA,0,0,206.7759032,10.25723885,"PI 344360"
"97",90397,"Orange","Orange","Orange",182.5676109,451.7916742,NA,NA,0,0,634.3592851,NA,"PI 357980"
"98",90401,"Orange","Orange","Orange",54.09941338,208.0016506,NA,NA,0,0,262.1010639,NA,"PI 357984"
"99",90403,"Orange","Orange","Orange",126.1908774,372.709068,37.52287221,NA,NA,0,NA,13.29588904,"PI 357986"
"100",90414,"Orange","Orange","Orange",108.6531835,218.1386934,14.3052664,NA,0,0,326.7918769,22.84416577,"PI 378883"
"101",90419,"Orange","Orange","Orange",435.1488352,1761.982031,77.72544297,72.70969036,272.1144084,0,2469.245274,28.26784618,"PI 379420"
"102",90429,"Orange","Orange","Orange",386.095734,1129.662669,127.0784359,NA,94.5730263,0,1610.331429,11.92773889,"PI 419184"
"103",90436,"Orange","Orange","Orange",297.5494682,938.7746792,117.0829822,50.71857574,134.261113,0,1370.58526,10.55938382,"PI 430530"
