Taxa,Q1,Q2
80615,0.9953435,0.0046565
80616,0.9999905,0.0000095
80618,0.9460585,0.0539415
80620,0.9517215,0.0482785
80622,0.9425325,0.0574675
80623,0.752762,0.247238
80624,0.980001,0.019999
80625,0.9999915,0.0000085
80626,0.8790755,0.1209245
80627,0.999952,0.000048
80628,0.9932515,0.0067485
80629,0.964287,0.035713
80630,0.9999915,0.0000085
80631,0.9521345,0.0478655
80632,0.974242,0.025758
80633,0.9999905,0.0000095
80634,0.952994,0.047006
80635,0.9673935,0.0326065
80637,0.959976,0.040024
80639,0.000009,0.999991
80642,0.274602,0.725398
80646,0.9922995,0.0077005
80648,0.99999,0.00001
80649,0.000009,0.999991
80650,0.0000105,0.9999895
80651,0.00001,0.99999
80652,0.0161535,0.9838465
80653,0.000011,0.999989
80654,0.0000095,0.9999905
80656,0.666317,0.333683
80657,0.9478765,0.0521235
80659,0.953617,0.046383
80665,0.523259,0.476741
80667,0.527732,0.472268
80672,0.1142825,0.8857175
80675,0.6934675,0.3065325
80676,0.0092085,0.9907915
80677,0.443067,0.556933
80683,0.7513155,0.2486845
80684,0.8191455,0.1808545
80685,0.7911075,0.2088925
80686,0.957635,0.042365
80690,0.74501,0.25499
80691,0.7937735,0.2062265
80692,0.9049765,0.0950235
80693,0.947023,0.052977
80695,0.94832,0.05168
80696,0.976581,0.023419
80697,0.9912995,0.0087005
80700,0.0000085,0.9999915
80701,0.574126,0.425874
80702,0.0000085,0.9999915
80706,0.0000105,0.9999895
80711,0.0000095,0.9999905
80713,0.000011,0.999989
80714,0.0000095,0.9999905
80719,0.9678565,0.0321435
80771,0.9761435,0.0238565
80783,0.9748265,0.0251735
80784,0.965809,0.034191
80786,0.984526,0.015474
80788,0.9999895,0.0000105
142462,0.931626,0.068374
142464,0.941864,0.058136
142466,0.9999905,0.0000095
142468,0.999991,0.000009
142470,0.9944275,0.0055725
142472,0.939948,0.060052
142474,0.999974,0.000026
142476,0.9708965,0.0291035
142488,0.613165,0.386835
142490,0.7175925,0.2824075
142492,0.1395415,0.8604585
142496,0.0000225,0.9999775
142498,0.02622,0.97378
142500,0.4279225,0.5720775
